,GAME_ID,HALFTIME_HOME_FG,HALFTIME_HOME_FG_MISSES,HALFTIME_HOME_FG_PCT,HALFTIME_HOME_REBOUNDS,HALFTIME_VISITING_FG,HALFTIME_VISITING_FG_PCT,HALFTIME_VISITING_MISSES,HALFTIME_VISITING_REBOUNDS
655,21500656,35,54,0.393258426966,47,43,0.443298969072,54,51
656,21500657,43,51,0.457446808511,41,37,0.513888888889,35,43
657,21500658,34,34,0.5,38,36,0.461538461538,42,34
658,21500659,31,59,0.344444444444,48,35,0.416666666667,49,53
659,21500660,34,51,0.4,52,34,0.404761904762,50,43
660,21500661,29,42,0.408450704225,32,39,0.469879518072,44,51
661,21500662,45,46,0.494505494505,42,34,0.492753623188,35,30
662,21500663,36,47,0.433734939759,52,33,0.397590361446,50,41
663,21500664,40,49,0.449438202247,49,43,0.462365591398,50,46
664,21500665,42,46,0.477272727273,40,34,0.441558441558,43,36
665,21500666,39,42,0.481481481481,44,34,0.447368421053,42,34
666,21500667,45,44,0.505617977528,43,35,0.448717948718,43,38
667,21500668,29,43,0.402777777778,39,43,0.483146067416,46,43
668,21500669,34,53,0.390804597701,49,37,0.456790123457,44,46
669,21500670,42,57,0.424242424242,54,38,0.452380952381,46,46
670,21500671,40,49,0.449438202247,50,38,0.475,42,38
671,21500672,30,51,0.37037037037,43,42,0.494117647059,43,42
672,21500673,33,51,0.392857142857,49,34,0.453333333333,41,42
673,21500674,44,43,0.505747126437,56,44,0.4,66,46
674,21500675,38,41,0.481012658228,45,28,0.394366197183,43,38
675,21500676,33,48,0.407407407407,48,32,0.410256410256,46,44
676,21500677,39,42,0.481481481481,41,39,0.469879518072,44,45
677,21500678,35,35,0.5,32,42,0.525,38,37
678,21500679,44,51,0.463157894737,42,45,0.459183673469,53,59
679,21500680,34,44,0.435897435897,48,31,0.402597402597,46,35
680,21500681,36,39,0.48,45,33,0.4125,47,39
681,21500682,39,46,0.458823529412,48,36,0.418604651163,50,45
682,21500683,29,44,0.397260273973,47,31,0.418918918919,43,35
683,21500684,44,36,0.55,37,33,0.471428571429,37,34
